order_item_id,order_id,product_id,quantity,unit_price,discount_amount
700078,90047,1009,2,26.00,0.00
700079,90048,1012,1,14.00,0.00
700080,90049,1018,1,34.00,0.00
700081,90050,1013,1,8.00,0.00
700082,90051,1015,1,32.00,0.00
700083,90051,1011,1,30.00,0.00
700084,90052,1007,1,36.10,1.90
700085,90053,1001,1,65.00,0.00
700086,90053,1002,1,64.80,7.20
700087,90053,1008,1,45.00,0.00
700088,90054,1001,1,65.00,0.00
700089,90055,1006,2,30.00,0.00
700090,90055,1018,3,32.30,5.10
700091,90055,1016,1,25.20,2.80
700092,90056,1007,2,36.10,3.80
700093,90057,1015,2,28.80,6.40
700094,90058,1002,2,68.40,7.20
700095,90058,1007,1,36.10,1.90
700096,90059,1014,1,18.00,0.00
700097,90059,1017,1,16.00,0.00
700098,90060,1003,1,95.00,0.00
700099,90061,1006,2,30.00,0.00
700100,90062,1004,1,110.00,0.00
700101,90063,1001,1,65.00,0.00
700102,90064,1014,2,18.00,0.00
700103,90064,1008,2,45.00,0.00
700104,90064,1007,1,38.00,0.00
700105,90064,1010,1,24.00,0.00
700106,90065,1010,2,24.00,0.00
700107,90065,1004,1,99.00,11.00
700108,90066,1009,2,26.00,0.00
700109,90067,1014,1,18.00,0.00
700110,90067,1009,1,23.40,2.60
700111,90068,1016,1,28.00,0.00
700112,90068,1001,1,65.00,0.00
700113,90069,1001,2,65.00,0.00
700114,90069,1006,1,30.00,0.00
700115,90070,1016,1,26.60,1.40
700116,90071,1012,1,14.00,0.00
700117,90071,1003,1,95.00,0.00
700118,90072,1011,2,30.00,0.00
700119,90072,1010,1,22.80,1.20
700120,90073,1015,1,32.00,0.00
700121,90074,1003,1,90.25,4.75
700122,90074,1004,1,110.00,0.00
700123,90075,1012,1,13.30,0.70
700124,90076,1003,1,95.00,0.00
700125,90077,1016,1,28.00,0.00
700126,90078,1005,2,28.00,0.00
700127,90079,1002,1,72.00,0.00
700128,90079,1015,1,32.00,0.00
700129,90080,1016,1,28.00,0.00
700130,90080,1003,2,85.50,19.00
700131,90081,1004,1,110.00,0.00
700132,90082,1002,1,72.00,0.00
700133,90083,1001,1,65.00,0.00
700134,90083,1006,1,30.00,0.00
700135,90083,1004,1,110.00,0.00
700136,90084,1017,2,14.40,3.20
700137,90085,1018,1,34.00,0.00
700138,90086,1010,1,24.00,0.00
700139,90087,1002,1,72.00,0.00
700140,90087,1001,1,65.00,0.00
700141,90088,1008,1,45.00,0.00
700142,90088,1012,2,14.00,0.00
700143,90088,1014,1,17.10,0.90
700144,90088,1005,1,25.20,2.80
700145,90089,1009,1,26.00,0.00
700146,90089,1011,1,27.00,3.00
700147,90089,1016,1,28.00,0.00
700148,90090,1007,1,38.00,0.00
700149,90090,1006,1,30.00,0.00
700150,90091,1007,1,38.00,0.00
700151,90092,1017,1,15.20,0.80
700152,90092,1006,1,30.00,0.00
700153,90093,1001,1,61.75,3.25
700154,90094,1016,2,25.20,5.60
700155,90095,1013,1,8.00,0.00
700156,90095,1005,1,28.00,0.00
700157,90096,1003,1,95.00,0.00
700158,90096,1016,1,28.00,0.00
700159,90097,1007,2,38.00,0.00
700160,90097,1002,2,72.00,0.00
700161,90097,1008,1,45.00,0.00
700162,90098,1011,2,30.00,0.00
700163,90099,1001,1,65.00,0.00
700164,90099,1014,1,18.00,0.00
700165,90100,1012,1,14.00,0.00
700166,90101,1002,1,72.00,0.00
700167,90101,1007,1,38.00,0.00
700168,90101,1001,2,65.00,0.00
700169,90102,1011,1,30.00,0.00
700170,90103,1015,1,32.00,0.00
700171,90103,1002,1,72.00,0.00
700172,90103,1007,1,36.10,1.90
700173,90103,1003,2,95.00,0.00
700174,90104,1006,1,27.00,3.00
700175,90104,1018,1,34.00,0.00
700176,90105,1014,1,16.20,1.80
700177,90106,1010,2,22.80,2.40
700178,90107,1013,2,8.00,0.00
700179,90108,1014,1,18.00,0.00
700180,90109,1006,2,30.00,0.00
700181,90110,1007,2,38.00,0.00
700182,90111,1015,1,32.00,0.00
700183,90111,1006,1,30.00,0.00
700184,90112,1017,1,16.00,0.00
700185,90112,1011,3,30.00,0.00
700186,90112,1007,2,38.00,0.00
700187,90113,1008,1,45.00,0.00
700188,90113,1012,1,13.30,0.70
700189,90113,1015,1,32.00,0.00
700190,90114,1012,1,12.60,1.40
700191,90114,1004,1,104.50,5.50
700192,90115,1012,2,12.60,2.80
700193,90115,1001,1,65.00,0.00
700194,90115,1006,1,30.00,0.00
700195,90116,1005,2,28.00,0.00
700196,90116,1015,1,32.00,0.00
700197,90116,1001,1,65.00,0.00
700198,90117,1008,1,42.75,2.25
700199,90117,1013,3,8.00,0.00
700200,90118,1009,1,26.00,0.00
700201,90119,1009,1,24.70,1.30
700202,90120,1013,1,8.00,0.00
700203,90121,1017,1,16.00,0.00
700204,90121,1010,3,22.80,3.60
700205,90122,1012,1,14.00,0.00
700206,90123,1012,2,12.60,2.80
700207,90123,1016,1,28.00,0.00
700208,90124,1002,2,72.00,0.00
700209,90125,1017,2,16.00,0.00
700210,90126,1010,1,24.00,0.00
700211,90126,1001,2,65.00,0.00
700212,90127,1012,1,14.00,0.00
700213,90128,1001,1,65.00,0.00
700214,90128,1014,1,18.00,0.00
700215,90128,1013,1,7.60,0.40
700216,90129,1001,1,65.00,0.00
700217,90130,1004,1,99.00,11.00
700218,90131,1012,1,14.00,0.00
700219,90131,1006,1,30.00,0.00
700220,90132,1010,2,24.00,0.00
700221,90132,1001,1,65.00,0.00
700222,90132,1002,1,72.00,0.00
700223,90132,1015,1,32.00,0.00
700224,90133,1009,1,23.40,2.60
700225,90133,1018,1,32.30,1.70
700226,90134,1005,1,28.00,0.00
700227,90135,1010,1,24.00,0.00
700228,90136,1007,1,34.20,3.80
700229,90137,1015,1,32.00,0.00
700230,90137,1002,1,72.00,0.00
700231,90137,1004,1,110.00,0.00
700232,90138,1003,1,85.50,9.50
700233,90139,1012,1,14.00,0.00
700234,90139,1005,1,26.60,1.40
700235,90140,1009,1,26.00,0.00
700236,90141,1002,2,72.00,0.00
700237,90141,1006,1,28.50,1.50
700238,90142,1005,1,25.20,2.80
700239,90143,1013,2,7.60,0.80
700240,90143,1011,2,30.00,0.00
700241,90144,1003,1,90.25,4.75
700242,90145,1010,1,24.00,0.00
700243,90146,1008,1,42.75,2.25
700244,90146,1014,1,18.00,0.00
700245,90146,1017,1,16.00,0.00
700246,90146,1001,3,58.50,19.50
700247,90147,1010,3,24.00,0.00
700248,90148,1008,1,45.00,0.00
700249,90149,1006,1,30.00,0.00
700250,90150,1014,1,18.00,0.00
700251,90151,1001,1,65.00,0.00
700252,90151,1004,2,104.50,11.00
700253,90152,1006,2,30.00,0.00
700254,90152,1001,1,61.75,3.25
700255,90153,1002,1,72.00,0.00
700256,90153,1018,1,34.00,0.00
700257,90154,1013,1,8.00,0.00
700258,90155,1001,1,65.00,0.00
700259,90156,1012,1,14.00,0.00
700260,90157,1005,2,28.00,0.00
700261,90157,1018,1,34.00,0.00
700262,90157,1014,3,18.00,0.00
700263,90158,1008,1,45.00,0.00
700264,90158,1007,1,38.00,0.00
700265,90158,1003,2,85.50,19.00
700266,90159,1014,1,18.00,0.00
700267,90160,1007,1,34.20,3.80
700268,90161,1010,1,24.00,0.00
700269,90162,1006,1,30.00,0.00
700270,90163,1005,1,26.60,1.40
700271,90164,1011,1,28.50,1.50
700272,90164,1012,1,13.30,0.70
700273,90165,1014,1,17.10,0.90
700274,90166,1016,1,28.00,0.00
700275,90167,1016,3,28.00,0.00
700276,90168,1003,1,95.00,0.00
700277,90169,1015,2,30.40,3.20
700278,90169,1001,2,65.00,0.00
700279,90169,1013,1,7.60,0.40
700280,90170,1012,1,14.00,0.00
700281,90171,1010,1,21.60,2.40
700282,90171,1016,1,28.00,0.00
700283,90171,1005,1,28.00,0.00
700284,90172,1004,1,110.00,0.00
700285,90173,1018,1,34.00,0.00
700286,90173,1015,2,32.00,0.00
700287,90173,1012,1,12.60,1.40
700288,90174,1014,1,17.10,0.90
700289,90175,1011,1,30.00,0.00
700290,90176,1007,1,38.00,0.00
700291,90176,1003,1,95.00,0.00
700292,90177,1015,1,30.40,1.60
700293,90177,1005,3,28.00,0.00
700294,90178,1008,3,45.00,0.00
700295,90179,1012,2,14.00,0.00
700296,90179,1001,1,65.00,0.00
700297,90180,1005,2,28.00,0.00
700298,90181,1012,1,12.60,1.40
700299,90181,1002,1,72.00,0.00
700300,90182,1008,1,45.00,0.00
700301,90182,1012,2,14.00,0.00
700302,90183,1015,1,32.00,0.00
700303,90184,1010,1,24.00,0.00
700304,90184,1007,2,38.00,0.00
700305,90185,1017,3,16.00,0.00
700306,90185,1003,1,90.25,4.75
700307,90186,1005,1,28.00,0.00
700308,90187,1001,1,65.00,0.00
700309,90187,1013,2,7.20,1.60
700310,90188,1013,1,7.60,0.40
700311,90189,1009,1,26.00,0.00
700312,90189,1011,1,28.50,1.50
700313,90190,1001,3,65.00,0.00
700314,90191,1010,1,24.00,0.00
700315,90191,1001,1,65.00,0.00
700316,90191,1005,1,28.00,0.00
700317,90191,1016,1,28.00,0.00
700318,90192,1001,1,65.00,0.00
700319,90193,1004,1,99.00,11.00
700320,90194,1015,1,28.80,3.20
700321,90194,1011,1,28.50,1.50
700322,90195,1014,2,17.10,1.80
700323,90195,1004,2,110.00,0.00
700324,90196,1008,1,45.00,0.00
700325,90197,1014,1,18.00,0.00
700326,90197,1003,3,95.00,0.00
700327,90198,1013,1,8.00,0.00
700328,90198,1010,2,24.00,0.00
700329,90199,1008,1,45.00,0.00
700330,90199,1007,2,36.10,3.80
700331,90200,1003,1,95.00,0.00
700332,90200,1013,2,8.00,0.00
700333,90200,1012,2,14.00,0.00
700334,90201,1014,1,18.00,0.00
700335,90202,1018,1,34.00,0.00
700336,90203,1010,1,24.00,0.00
700337,90204,1015,1,28.80,3.20
700338,90205,1014,2,18.00,0.00
700339,90206,1003,1,95.00,0.00
700340,90207,1017,2,16.00,0.00
700341,90207,1012,1,13.30,0.70
700342,90208,1014,1,18.00,0.00
700343,90208,1007,1,38.00,0.00
700344,90208,1016,1,28.00,0.00
700345,90209,1012,1,13.30,0.70
700346,90210,1015,1,32.00,0.00
700347,90210,1008,1,45.00,0.00
700348,90211,1003,1,90.25,4.75
700349,90212,1012,1,14.00,0.00
700350,90213,1008,2,45.00,0.00
700351,90213,1004,1,99.00,11.00
700352,90214,1011,1,28.50,1.50
700353,90214,1014,1,18.00,0.00
700354,90214,1010,1,24.00,0.00
700355,90214,1001,1,65.00,0.00
700356,90215,1013,1,8.00,0.00
700357,90216,1014,1,18.00,0.00
700358,90217,1007,1,34.20,3.80
700359,90218,1008,1,45.00,0.00
700360,90218,1009,1,26.00,0.00
700361,90219,1003,1,95.00,0.00
700362,90220,1003,1,95.00,0.00
700363,90220,1014,1,17.10,0.90
700364,90220,1007,1,38.00,0.00
700365,90221,1002,1,72.00,0.00
700366,90221,1001,1,65.00,0.00
700367,90221,1013,1,8.00,0.00
700368,90221,1016,2,25.20,5.60
700369,90222,1016,1,28.00,0.00
700370,90223,1004,2,104.50,11.00
700371,90224,1006,1,30.00,0.00
700372,90224,1013,1,7.60,0.40
700373,90225,1014,1,18.00,0.00
700374,90225,1007,1,38.00,0.00
700375,90226,1008,1,45.00,0.00
700376,90227,1017,2,16.00,0.00
700377,90227,1005,1,26.60,1.40
700378,90227,1012,2,13.30,1.40
700379,90227,1008,1,45.00,0.00
700380,90228,1005,1,28.00,0.00
700381,90229,1006,1,30.00,0.00
700382,90229,1010,1,24.00,0.00
700383,90230,1001,1,65.00,0.00
700384,90231,1008,1,45.00,0.00
700385,90232,1015,1,32.00,0.00
700386,90232,1012,1,14.00,0.00
700387,90233,1016,2,28.00,0.00
700388,90233,1006,1,28.50,1.50
700389,90233,1005,1,28.00,0.00
700390,90234,1006,1,30.00,0.00
700391,90234,1012,1,13.30,0.70
700392,90235,1007,1,38.00,0.00
700393,90236,1016,1,28.00,0.00
700394,90236,1017,3,15.20,2.40
700395,90237,1006,3,30.00,0.00
700396,90237,1003,1,95.00,0.00
700397,90238,1003,1,95.00,0.00
700398,90238,1009,1,26.00,0.00
700399,90238,1006,1,28.50,1.50
700400,90239,1002,1,72.00,0.00
700401,90239,1014,2,18.00,0.00
700402,90240,1002,1,72.00,0.00
700403,90240,1014,1,16.20,1.80
700404,90241,1008,2,45.00,0.00
700405,90242,1003,1,95.00,0.00
700406,90243,1010,1,24.00,0.00
700407,90243,1008,1,40.50,4.50
700408,90244,1010,1,22.80,1.20
700409,90244,1016,2,28.00,0.00
700410,90245,1001,2,65.00,0.00
700411,90246,1016,1,28.00,0.00
700412,90246,1014,1,18.00,0.00
700413,90247,1008,1,45.00,0.00
700414,90248,1005,1,28.00,0.00
700415,90249,1011,1,28.50,1.50
700416,90249,1013,1,8.00,0.00
700417,90249,1014,1,17.10,0.90
700418,90250,1010,1,24.00,0.00
700419,90250,1002,1,72.00,0.00
700420,90250,1007,1,38.00,0.00
700421,90250,1015,1,32.00,0.00
700422,90251,1016,2,28.00,0.00
700423,90252,1007,1,36.10,1.90
700424,90252,1012,2,14.00,0.00
700425,90253,1013,1,8.00,0.00
700426,90254,1003,1,95.00,0.00
700427,90255,1014,1,17.10,0.90
700428,90255,1004,2,110.00,0.00
700429,90255,1003,1,90.25,4.75
700430,90256,1008,1,45.00,0.00
700431,90256,1006,1,30.00,0.00
700432,90257,1014,1,17.10,0.90
700433,90257,1016,1,28.00,0.00
700434,90258,1001,2,65.00,0.00
700435,90258,1008,2,42.75,4.50
700436,90259,1012,1,14.00,0.00
700437,90260,1008,1,45.00,0.00
700438,90261,1003,1,95.00,0.00
700439,90262,1004,1,110.00,0.00
700440,90263,1004,2,104.50,11.00
700441,90264,1018,1,34.00,0.00
700442,90264,1012,1,14.00,0.00
700443,90265,1003,2,95.00,0.00
700444,90266,1006,1,28.50,1.50
700445,90267,1008,1,45.00,0.00
700446,90268,1016,1,26.60,1.40
700447,90268,1001,1,65.00,0.00
700448,90269,1009,1,26.00,0.00
700449,90269,1010,1,24.00,0.00
700450,90270,1013,1,8.00,0.00
700451,90271,1004,2,110.00,0.00
700452,90272,1004,1,110.00,0.00
700453,90272,1005,1,28.00,0.00
700454,90273,1013,2,8.00,0.00
700455,90274,1007,1,38.00,0.00
700456,90275,1008,1,45.00,0.00
700457,90275,1014,1,18.00,0.00
700458,90276,1014,1,16.20,1.80
700459,90277,1002,1,72.00,0.00
700460,90277,1007,1,38.00,0.00
700461,90277,1015,1,32.00,0.00
700462,90277,1009,1,26.00,0.00
700463,90278,1012,1,12.60,1.40
700464,90279,1012,1,14.00,0.00
700465,90280,1015,1,32.00,0.00
700466,90281,1013,1,8.00,0.00
700467,90281,1003,1,95.00,0.00
700468,90282,1002,2,72.00,0.00
700469,90282,1007,1,34.20,3.80
700470,90282,1012,1,12.60,1.40
700471,90283,1013,1,8.00,0.00
700472,90284,1015,3,28.80,9.60
700473,90284,1011,1,28.50,1.50
700474,90285,1013,1,8.00,0.00
700475,90285,1011,1,28.50,1.50
700476,90286,1016,1,28.00,0.00
700477,90287,1008,3,40.50,13.50
700478,90288,1002,1,72.00,0.00
700479,90289,1007,2,36.10,3.80
700480,90290,1018,2,34.00,0.00
700481,90291,1017,1,14.40,1.60
700482,90291,1003,1,95.00,0.00
700483,90291,1006,2,30.00,0.00
700484,90292,1016,2,28.00,0.00
700485,90292,1007,1,38.00,0.00
700486,90292,1010,2,24.00,0.00
700487,90293,1013,1,8.00,0.00
700488,90293,1001,2,61.75,6.50
700489,90294,1006,1,30.00,0.00
700490,90294,1009,1,23.40,2.60
700491,90294,1007,1,38.00,0.00
700492,90295,1004,3,110.00,0.00
700493,90295,1012,2,14.00,0.00
700494,90296,1008,1,40.50,4.50
700495,90297,1012,1,14.00,0.00
700496,90297,1014,1,18.00,0.00
700497,90297,1007,1,36.10,1.90
700498,90297,1013,2,8.00,0.00
700499,90298,1016,1,28.00,0.00
700500,90298,1002,2,72.00,0.00
700501,90299,1003,1,95.00,0.00
700502,90300,1005,1,28.00,0.00
700503,90300,1007,1,38.00,0.00
700504,90301,1010,1,24.00,0.00
700505,90301,1006,3,28.50,4.50
700506,90302,1004,1,110.00,0.00
700507,90303,1012,1,14.00,0.00
700508,90303,1013,1,8.00,0.00
700509,90304,1003,1,95.00,0.00
700510,90305,1012,3,14.00,0.00
700511,90305,1003,3,95.00,0.00
700512,90306,1001,1,58.50,6.50
700513,90307,1006,1,27.00,3.00
700514,90307,1001,2,65.00,0.00
700515,90308,1015,1,32.00,0.00
700516,90309,1012,1,14.00,0.00
700517,90309,1016,1,28.00,0.00
700518,90310,1005,3,28.00,0.00
700519,90311,1007,1,38.00,0.00
700520,90312,1008,1,45.00,0.00
700521,90313,1016,1,26.60,1.40
700522,90313,1009,1,26.00,0.00
700523,90314,1006,1,30.00,0.00
700524,90315,1009,1,26.00,0.00
700525,90315,1013,2,7.20,1.60
700526,90316,1003,1,95.00,0.00
700527,90316,1016,1,28.00,0.00
700528,90317,1001,3,61.75,9.75
700529,90318,1002,1,68.40,3.60
700530,90318,1016,1,28.00,0.00
700531,90319,1013,1,8.00,0.00
700532,90320,1005,1,28.00,0.00
700533,90321,1002,2,72.00,0.00
700534,90322,1012,1,14.00,0.00
700535,90322,1005,1,28.00,0.00
700536,90323,1017,1,14.40,1.60
700537,90323,1005,1,28.00,0.00
700538,90324,1016,1,28.00,0.00
700539,90325,1006,1,30.00,0.00
700540,90325,1010,2,22.80,2.40
700541,90326,1010,2,24.00,0.00
700542,90326,1005,1,28.00,0.00
700543,90327,1003,1,95.00,0.00
700544,90328,1017,1,16.00,0.00
700545,90328,1014,1,16.20,1.80
700546,90328,1012,1,14.00,0.00
700547,90329,1014,1,18.00,0.00
700548,90330,1002,2,72.00,0.00
700549,90330,1012,1,14.00,0.00
700550,90330,1016,1,28.00,0.00
700551,90331,1005,1,28.00,0.00
700552,90331,1012,1,13.30,0.70
700553,90332,1013,1,7.60,0.40
700554,90332,1016,1,28.00,0.00
700555,90333,1003,1,95.00,0.00
700556,90334,1003,1,90.25,4.75
700557,90335,1006,1,30.00,0.00
700558,90336,1005,1,28.00,0.00
700559,90337,1013,1,8.00,0.00
700560,90338,1013,2,7.60,0.80
700561,90339,1010,1,24.00,0.00
700562,90339,1007,1,34.20,3.80
700563,90339,1005,1,25.20,2.80
700564,90340,1005,1,26.60,1.40
700565,90341,1006,1,30.00,0.00
700566,90341,1010,1,21.60,2.40
700567,90342,1005,1,25.20,2.80
700568,90342,1018,2,34.00,0.00
700569,90342,1002,3,64.80,21.60
700570,90343,1001,2,65.00,0.00
700571,90344,1003,2,95.00,0.00
700572,90344,1001,1,65.00,0.00
700573,90345,1012,1,13.30,0.70
700574,90345,1003,2,90.25,9.50
700575,90346,1015,1,30.40,1.60
700576,90347,1015,1,32.00,0.00
700577,90347,1001,1,65.00,0.00
700578,90348,1009,3,26.00,0.00
700579,90348,1007,1,36.10,1.90
700580,90349,1002,1,72.00,0.00
700581,90349,1006,3,30.00,0.00
700582,90350,1015,1,30.40,1.60
700583,90351,1016,1,25.20,2.80
700584,90351,1012,1,14.00,0.00
700585,90352,1005,1,28.00,0.00
700586,90352,1007,2,38.00,0.00
700587,90352,1006,1,30.00,0.00
700588,90353,1012,1,14.00,0.00
700589,90354,1012,2,13.30,1.40
700590,90354,1013,1,8.00,0.00
700591,90354,1005,3,28.00,0.00
700592,90354,1016,3,28.00,0.00
700593,90355,1014,1,18.00,0.00
700594,90356,1012,2,14.00,0.00
700595,90357,1014,2,18.00,0.00
700596,90358,1007,3,38.00,0.00
700597,90359,1014,1,18.00,0.00
700598,90359,1010,1,24.00,0.00
700599,90360,1010,1,24.00,0.00
700600,90360,1007,1,38.00,0.00
700601,90360,1011,1,28.50,1.50
700602,90361,1003,1,95.00,0.00
700603,90361,1008,1,40.50,4.50
700604,90362,1016,1,28.00,0.00
700605,90363,1009,1,23.40,2.60
700606,90363,1007,1,38.00,0.00
700607,90363,1014,1,18.00,0.00
700608,90364,1002,1,72.00,0.00
700609,90364,1005,2,28.00,0.00
700610,90364,1015,1,32.00,0.00
700611,90365,1015,1,32.00,0.00
700612,90365,1010,1,24.00,0.00
700613,90366,1002,2,72.00,0.00
700614,90366,1018,1,34.00,0.00
700615,90366,1016,1,28.00,0.00
700616,90367,1015,2,28.80,6.40
700617,90367,1007,1,36.10,1.90
700618,90368,1006,1,30.00,0.00
700619,90369,1004,2,104.50,11.00
700620,90369,1002,2,72.00,0.00
700621,90369,1008,1,42.75,2.25
700622,90370,1006,2,28.50,3.00
700623,90371,1009,1,26.00,0.00
700624,90371,1008,1,45.00,0.00
700625,90371,1010,1,24.00,0.00
700626,90372,1013,1,8.00,0.00
700627,90373,1008,1,45.00,0.00
700628,90374,1012,1,14.00,0.00
700629,90375,1017,1,16.00,0.00
700630,90375,1012,1,14.00,0.00
700631,90376,1008,2,42.75,4.50
700632,90377,1003,3,95.00,0.00
700633,90378,1003,1,95.00,0.00
700634,90378,1014,1,18.00,0.00
700635,90378,1013,1,8.00,0.00
700636,90378,1009,1,24.70,1.30
700637,90379,1010,1,24.00,0.00
700638,90380,1005,1,28.00,0.00
700639,90381,1012,2,14.00,0.00
700640,90381,1005,2,28.00,0.00
700641,90381,1009,1,26.00,0.00
700642,90382,1013,1,8.00,0.00
700643,90383,1003,1,95.00,0.00
700644,90384,1002,1,72.00,0.00
700645,90385,1001,2,61.75,6.50
700646,90385,1014,1,16.20,1.80
700647,90386,1017,2,16.00,0.00
700648,90387,1006,1,28.50,1.50
700649,90388,1003,1,90.25,4.75
700650,90388,1006,1,28.50,1.50
700651,90389,1006,1,30.00,0.00
700652,90389,1015,1,28.80,3.20
700653,90390,1017,1,16.00,0.00
700654,90391,1016,3,26.60,4.20
700655,90392,1006,1,30.00,0.00
700656,90392,1011,1,30.00,0.00
700657,90393,1008,1,45.00,0.00
700658,90393,1006,1,28.50,1.50
700659,90393,1007,1,38.00,0.00
700660,90394,1004,1,110.00,0.00
700661,90394,1018,2,34.00,0.00
700662,90394,1009,1,26.00,0.00
700663,90395,1011,1,30.00,0.00
700664,90396,1018,1,34.00,0.00
700665,90397,1018,1,34.00,0.00
700666,90397,1013,1,8.00,0.00
700667,90398,1013,1,7.60,0.40
700668,90398,1016,2,28.00,0.00
700669,90399,1016,1,28.00,0.00
700670,90399,1006,1,30.00,0.00
700671,90400,1016,2,26.60,2.80
700672,90401,1009,3,26.00,0.00
700673,90401,1010,1,24.00,0.00
700674,90402,1005,1,28.00,0.00
700675,90403,1013,2,7.60,0.80
700676,90404,1006,3,30.00,0.00
700677,90404,1013,1,8.00,0.00
700678,90405,1003,1,90.25,4.75
700679,90406,1018,1,32.30,1.70
700680,90407,1008,1,45.00,0.00
700681,90408,1002,1,72.00,0.00
700682,90408,1001,2,65.00,0.00
700683,90408,1016,1,25.20,2.80
700684,90409,1003,2,95.00,0.00
700685,90409,1007,3,38.00,0.00
700686,90410,1005,2,28.00,0.00
700687,90411,1007,1,36.10,1.90
700688,90412,1005,1,26.60,1.40
700689,90413,1015,1,32.00,0.00
700690,90414,1016,3,28.00,0.00
700691,90414,1006,1,30.00,0.00
700692,90414,1009,3,26.00,0.00
700693,90415,1014,1,17.10,0.90
700694,90416,1003,1,95.00,0.00
700695,90416,1007,2,34.20,7.60
700696,90416,1016,2,26.60,2.80
700697,90417,1013,2,8.00,0.00
700698,90418,1010,1,24.00,0.00
700699,90418,1014,2,17.10,1.80
700700,90418,1004,1,104.50,5.50
700701,90419,1005,2,28.00,0.00
700702,90419,1007,1,34.20,3.80
700703,90419,1015,1,32.00,0.00
700704,90420,1013,1,7.60,0.40
700705,90420,1004,1,104.50,5.50
700706,90421,1014,1,18.00,0.00
700707,90422,1013,1,8.00,0.00
700708,90423,1007,1,38.00,0.00
700709,90423,1015,1,32.00,0.00
700710,90423,1009,1,23.40,2.60
700711,90424,1016,1,26.60,1.40
700712,90424,1007,1,38.00,0.00
700713,90424,1010,2,21.60,4.80
700714,90425,1006,1,27.00,3.00
700715,90425,1013,1,8.00,0.00
700716,90426,1012,1,12.60,1.40
700717,90426,1007,1,38.00,0.00
700718,90426,1014,1,18.00,0.00
700719,90427,1014,1,18.00,0.00
700720,90427,1009,2,26.00,0.00
700721,90428,1008,1,45.00,0.00
700722,90428,1002,3,72.00,0.00
700723,90429,1014,2,18.00,0.00
700724,90429,1009,1,26.00,0.00
700725,90430,1007,1,36.10,1.90
700726,90431,1015,1,32.00,0.00
700727,90431,1011,1,30.00,0.00
700728,90431,1013,1,8.00,0.00
700729,90432,1007,1,38.00,0.00
700730,90433,1016,1,26.60,1.40
700731,90433,1005,3,28.00,0.00
700732,90434,1012,1,12.60,1.40
700733,90435,1003,1,95.00,0.00
